city,market_entry_score,rank,adoption_score,spending_score,city_strength_score,trend_score,city_tier
Delhi,0.5879174066459454,1,0.14608097238359113,1.0,0.7044196290835802,0.5011690251166099,1
Hyderabad,0.5274109370851101,2,0.12532581895033468,0.8726813515821014,0.6104675526913949,0.5011690251166099,1
Pune,0.4997467607770837,3,0.08659725404073128,0.7411563666019512,0.6700643973490424,0.5011690251166099,1
Ahmedabad,0.497603848637803,4,0.08348238587759563,0.8269419885372518,0.5788219950197547,0.5011690251166099,1
Bengaluru,0.49642759244514073,5,0.12532581895033468,0.6450181765837767,0.7141973491298418,0.5011690251166099,1
Chennai,0.4818895282427294,6,0.026507732199153172,0.7637332202757633,0.6361481353793912,0.5011690251166099,1
Kolkata,0.45678572448642357,7,0.11283536213957077,0.5903111847947139,0.6228273258947998,0.5011690251166099,1
Mumbai,0.45306828094415497,8,0.09938709430990818,0.6298000609425918,0.58191694340751,0.5011690251166099,1
Lucknow,0.4090495406627947,9,0.06510485006083462,0.8427016991985747,0.22722258827515956,0.5011690251166099,2
Coimbatore,0.4018824179912568,10,0.0903579374916003,0.6094324230827776,0.40657028627403946,0.5011690251166099,2
Kanpur,0.39647949678936817,11,1.0,0.0,0.08474896204086269,0.5011690251166099,3
Bhopal,0.3877806901623019,12,0.15302505357178628,0.6008630017620542,0.2960656801987571,0.5011690251166099,2
Visakhapatnam,0.38359821981954734,13,0.15600635463766344,0.6412632374807452,0.2359542620431708,0.5011690251166099,2
Jaipur,0.3820789711066605,14,0.13469151083308237,0.5881977655929853,0.3042575828839644,0.5011690251166099,2
Nagpur,0.38134873707062694,15,0.02646121638471128,0.71811398158737,0.27965072519381645,0.5011690251166099,2
Surat,0.36374301142613985,16,0.0016359853237821913,0.6671166965701676,0.28505033869399976,0.5011690251166099,2
Patna,0.3604573778373268,17,0.08830440385052689,0.6349830941970676,0.21737298818510298,0.5011690251166099,2
Kochi,0.34989412139580056,18,0.0,0.6503211378502237,0.24808632261636854,0.5011690251166099,2
Bhubaneswar,0.33666665924486305,19,0.18893848666303756,0.3956991513895243,0.2608599738102805,0.5011690251166099,2
Chandigarh,0.32030683537002874,20,0.047302220954915736,0.5272098226667997,0.20554627274178963,0.5011690251166099,2
Indore,0.29796046979032187,21,0.02360342605927387,0.3827232043640926,0.2843462236213111,0.5011690251166099,2
Ranchi,0.22800575692361427,22,0.13242732784202058,0.0,0.2784266747358266,0.5011690251166099,3
